id,label,comment,domains,ranges
reviewCount,Review Count,The count of total number of reviews.,AggregateRating,Number
children,Children,A child of the person.,Person,Person
elevation,Elevation,The elevation of a location.,GeoCoordinates,Number Text
superEvent,Super Event,"An event that this event is a part of. For example, a collection of individual music performances might each have a music festival as their superEvent.",Event,Event
containedIn,Contained in,The basic containment relation between places.,Place,Place
offerCount,Offer Count,The number of offers for the product.,AggregateOffer,Integer
itemCondition,Item Condition,"The condition of the item for sale—for example New, Refurbished, Used, etc.",Offer,OfferItemCondition
reviewRating,Review Rating,"The rating given in this review. Note that reviews can themselves be rated. The <code>reviewRating</code> applies to rating given by the review. The <code>rating</code> property applies to the review itself, as a creative work.",Review,Rating
height,Height,The height of the media object.,MediaObject,Distance
geo,Geo,The geo coordinates of the place.,Place,GeoCoordinates
name,Name,The name of the item.,Thing,Text
priceCurrency,Price Currency,"The currency (in 3-letter <a href=""http://en.wikipedia.org/wiki/ISO_4217"">ISO 4217 format</a>) of the offer price.",Offer,Text
follows,Follows,The most generic uni-directional social relation.,Person,Person
thumbnail,Thumbnail,Thumbnail image for an image or video.,VideoObject ImageObject,ImageObject
addressRegion,Address Region,"The region. For example, CA.",PostalAddress,Text
recipeYield,Recipe Yield,"The quantity produced by the recipe (for example, number of people served, number of servings, etc).",Recipe,Text
subEvents,Sub Events,"Events that are a part of this event. For example, a conference event includes many presentations, each are subEvents of the conference.",Event,Event
fiberContent,Fiber Content,The number of grams of fiber.,NutritionInformation,Mass
gender,Gender,Gender of the person.,Person,Text
paymentAccepted,Payment Accepted,"Cash, credit card, etc.",LocalBusiness,Text
contactPoints,Contact Points,A contact point for a person or organization.,Organization Person,ContactPoint
acceptsReservations,Accepts Reservations,"Either <code>Yes/No</code>, or a URL at which reservations can be made.",FoodEstablishment,Text
trailer,Trailer,"The trailer of the movie or TV series, season, or episode.",Movie TVSeries TVSeason,VideoObject
articleBody,Article Body,The actual body of the article.,Article,Text
encodesCreativeWork,Encodes Creative Work,The creative work encoded by this media object,MediaObject,CreativeWork
foundingDate,Founding Date,The date that this organization was founded.,Organization,Date
musicBy,Music by,The composer of the movie or TV soundtrack.,TVEpisode Movie TVSeries,Person MusicGroup
affiliation,Affiliation,"An organization that this person is affiliated with. For example, a school/university, a club, or a team.",Person,Organization
video,Video,An embeded video object or URL associated with the content.,CreativeWork,VideoObject
encodings,Encodings,The media objects that encode this creative work,CreativeWork,MediaObject
duration,Duration,"The duration of the item (movie, audio recording, event, etc.) in <a href=""http://en.wikipedia.org/wiki/ISO_8601"" target=""new"">ISO 8601 date format</a>.",Movie MediaObject MusicRecording Event,Duration
episodeNumber,Episode Number,The episode number.,TVEpisode,Number
saturatedFatContent,Saturated Fat Content,The number of grams of saturated fat.,NutritionInformation,Mass
attendees,Attendees,A person attending the event.,Event,Person Organization
productionCompany,Production Company,"The production company or studio that made the movie, TV series, season, or episode, or video.",TVEpisode Movie TVSeries,Organization
fatContent,Fat Content,The number of grams of fat.,NutritionInformation,Mass
worksFor,Works for,Organizations that the person works for.,Person,Organization
isFamilyFriendly,Is Family Friendly,Indicates whether this content is family friendly.,CreativeWork,Boolean
seller,Seller,The seller of the product.,Offer,Organization
priceRange,Price Range,"The price range of the business, for example <code>$$$</code>.",LocalBusiness,Text
isPartOf,Is Part of,Indicates the collection or gallery to which the item belongs.,WebPage,CollectionPage
primaryImageOfPage,Primary Image of Page,Indicates the main image on the page,WebPage,ImageObject
contentSize,Content Size,File size in (mega/kilo) bytes.,MediaObject,Text
memberOf,Member of,An organization to which the person belongs.,Person,Organization
significantLinks,Significant Links,"The most significant URLs on the page. Typically, these are the non-navigation links that are clicked on the most",WebPage,URL
cookingMethod,Cooking Method,"The method of cooking, such as Frying, Steaming, ...",Recipe,Text
recipeInstructions,Recipe Instructions,The steps to make the dish.,Recipe,Text
awards,Awards,Awards won by this person or for this creative work.,Person CreativeWork,Text
members,Members,A member of this organization.,Organization,Person Organization
address,Address,Physical address of the item.,Organization Place Person,PostalAddress
genre,Genre,Genre of the creative work,CreativeWork,Text
nationality,Nationality,Nationality of the person.,Person,Country
bitrate,Bitrate,The bitrate of the media object.,MediaObject,Text
prepTime,Prep Time,"The length of time it takes to prepare the recipe, in <a href=""http://en.wikipedia.org/wiki/ISO_8601"" target=""new"">ISO 8601 duration format</a>.",Recipe,Duration
manufacturer,Manufacturer,The manufacturer of the product.,Product,Organization
numberOfPages,Number of Pages,The number of pages in the book.,Book,Integer
about,About,The subject matter of the content.,CreativeWork,Thing
employees,Employees,People working for this organization.,Organization,Person
calories,Calories,The number of calories,NutritionInformation,Energy
tracks,Tracks,A music recording (track)—usually a single song.,MusicPlaylist MusicGroup,MusicRecording
