id,label,comment,ancestors,supertypes,subtypes,properties
NutritionInformation,Nutrition Information,Nutritional information about the recipe.,Thing Intangible StructuredValue,StructuredValue,,calories carbohydrateContent cholesterolContent fatContent fiberContent proteinContent saturatedFatContent servingSize sodiumContent sugarContent transFatContent unsaturatedFatContent
JewelryStore,Jewelry Store,A jewelry store.,Thing Organization LocalBusiness Store,Store,,
Photograph,Photograph,A photograph.,Thing CreativeWork,CreativeWork,,
Residence,Residence,The place where a person lives.,Thing Place,Place,ApartmentComplex GatedResidenceCommunity SingleFamilyResidence,
City,City,A city or town.,Thing Place AdministrativeArea,AdministrativeArea,,
GatedResidenceCommunity,Gated Residence Community,Residence type: Gated community.,Thing Place Residence,Residence,,
SportsTeam,Sports Team,Organization: Sports team.,Thing Organization,Organization,,
RoofingContractor,Roofing Contractor,A roofing contractor.,Thing Organization LocalBusiness HomeAndConstructionBusiness,HomeAndConstructionBusiness ProfessionalService,,
RadioStation,Radio Station,A radio station.,Thing Organization LocalBusiness,LocalBusiness,,
Florist,Florist,A florist.,Thing Organization LocalBusiness Store,Store,,
Airport,Airport,An airport.,Thing Place CivicStructure,CivicStructure,,
CafeOrCoffeeShop,Cafe or Coffee Shop,A cafe or coffee shop.,Thing Organization LocalBusiness FoodEstablishment,FoodEstablishment,,
InsuranceAgency,Insurance Agency,Insurance agency.,Thing Organization LocalBusiness FinancialService,FinancialService,,
Winery,Winery,A winery.,Thing Organization LocalBusiness FoodEstablishment,FoodEstablishment,,
Pond,Pond,,Thing Place Landform BodyOfWater,BodyOfWater,,
VideoGallery,Video Gallery,Web page type: Video gallery page.,Thing CreativeWork WebPage CollectionPage,CollectionPage,,
PostalAddress,Postal Address,The mailing address.,Thing Intangible StructuredValue ContactPoint,ContactPoint,,addressCountry addressLocality addressRegion postOfficeBoxNumber postalCode streetAddress
DanceGroup,Dance Group,"A dance group—for example, the Alvin Ailey Dance Theater or Riverdance.",Thing Organization PerformingGroup,PerformingGroup,,
