id,label,comment,ancestors,supertypes,subtypes,properties
LocalBusiness,Local Business,"A particular physical business or branch of an organization. Examples of LocalBusiness include a restaurant, a particular branch of a restaurant chain, a branch of a bank, a medical practice, a club, a bowling alley, etc.",Thing Organization,Place Organization,AnimalShelter AutomotiveBusiness ChildCare DryCleaningOrLaundry EmergencyService EmploymentAgency EntertainmentBusiness FinancialService FoodEstablishment GovernmentOffice HealthAndBeautyBusiness HomeAndConstructionBusiness InternetCafe Library LodgingBusiness MedicalOrganization ProfessionalService RadioStation RealEstateAgent RecyclingCenter SelfStorage ShoppingCenter SportsActivityLocation Store TelevisionStation TouristInformationCenter TravelAgency,branchOf currenciesAccepted openingHours paymentAccepted priceRange
BookStore,Book Store,A bookstore.,Thing Organization LocalBusiness Store,Store,,
VeterinaryCare,Veterinary Care,A vet's office.,Thing Organization LocalBusiness MedicalOrganization,MedicalOrganization,,
MedicalOrganization,Medical Organization,"A medical organization, such as a doctor's office or clinic.",Thing Organization LocalBusiness,LocalBusiness,Dentist Hospital MedicalClinic Optician Pharmacy Physician VeterinaryCare,
Store,Store,A retail good store.,Thing Organization LocalBusiness,LocalBusiness,AutoPartsStore BikeStore BookStore ClothingStore ComputerStore ConvenienceStore DepartmentStore ElectronicsStore Florist FurnitureStore GardenStore GroceryStore HardwareStore HobbyShop HomeGoodsStore JewelryStore LiquorStore MensClothingStore MobilePhoneStore MovieRentalStore MusicStore OfficeEquipmentStore OutletStore PawnShop PetStore ShoeStore SportingGoodsStore TireShop ToyStore WholesaleStore,
PerformingGroup,Performing Group,"A performance group, such as a band, an orchestra, or a circus.",Thing Organization,Organization,DanceGroup MusicGroup TheaterGroup,
UserCheckins,User Checkins,User interaction: Check-in at a place.,Thing Event UserInteraction,UserInteraction,,
DryCleaningOrLaundry,Dry Cleaning or Laundry,A dry-cleaning business.,Thing Organization LocalBusiness,LocalBusiness,,
ItemList,Item List,"A list of items of any sort—for example, Top 10 Movies About Weathermen, or Top 100 Party Songs. Not to be confused with HTML lists, which are often used only for formatting.",Thing CreativeWork,CreativeWork,,itemListElement
OfficeEquipmentStore,Office Equipment Store,An office equipment store.,Thing Organization LocalBusiness Store,Store,,
InternetCafe,Internet Cafe,An internet cafe.,Thing Organization LocalBusiness,LocalBusiness,,
BusinessEvent,Business Event,Event type: Business event.,Thing Event,Event,,
HobbyShop,Hobby Shop,A hobby store.,Thing Organization LocalBusiness Store,Store,,
Dentist,Dentist,A dentist.,Thing Organization LocalBusiness MedicalOrganization,MedicalOrganization ProfessionalService,,
GroceryStore,Grocery Store,A grocery store.,Thing Organization LocalBusiness Store,Store,,
Movie,Movie,,Thing CreativeWork,CreativeWork,,actors director duration musicBy producer productionCompany trailer
ImageGallery,Image Gallery,Web page type: Image gallery page.,Thing CreativeWork WebPage CollectionPage,CollectionPage,,
CreativeWork,Creative Work,"The most generic kind of creative work, including books, movies, photographs, software programs, etc.",Thing,Thing,Article Blog Book ItemList Map MediaObject Movie MusicPlaylist MusicRecording Painting Photograph Recipe Review Sculpture TVEpisode TVSeason TVSeries WebPage WebPageElement,about aggregateRating audio author awards contentLocation contentRating datePublished editor encodings genre headline inLanguage interactionCount isFamilyFriendly keywords offers publisher reviews video
MediaObject,Media Object,"An image, video, or audio object embedded in a web page. Note that a creative work may have many media objects associated with it on the same web page. For example, a page about a single song (MusicRecording) may have a music video (VideoObject), and a high and low bandwidth audio stream (2 AudioObject's).",Thing CreativeWork,CreativeWork,AudioObject ImageObject MusicVideoObject VideoObject,bitrate contentSize contentURL duration embedURL encodesCreativeWork encodingFormat expires height playerType regionsAllowed requiresSubscription uploadDate width
Preschool,Preschool,A preschool.,Thing Organization EducationalOrganization,EducationalOrganization,,
SiteNavigationElement,Site Navigation Element,A navigation element of the page.,Thing CreativeWork WebPageElement,WebPageElement,,
ProfessionalService,Professional Service,Provider of professional services.,Thing Organization LocalBusiness,LocalBusiness,AccountingService Attorney Dentist Electrician GeneralContractor HousePainter Locksmith Notary Plumber RoofingContractor,
Language,Language,"Natural languages such as Spanish, Tamil, Hindi, English, etc. and programming languages such as Scheme and Lisp.",Thing Intangible,Intangible,,
SubwayStation,Subway Station,A subway station.,Thing Place CivicStructure,CivicStructure,,
SeaBodyOfWater,Sea Body of Water,"A sea (for example, the Caspian sea).",Thing Place Landform BodyOfWater,BodyOfWater,,
Casino,Casino,A casino.,Thing Organization LocalBusiness EntertainmentBusiness,EntertainmentBusiness,,
GovernmentOffice,Government Office,"A government office—for example, an IRS or DMV office.",Thing Organization LocalBusiness,LocalBusiness,PostOffice,
Person,Person,"A person (alive, dead, undead, or fictional).",Thing,Thing,,address affiliation alumniOf awards birthDate children colleagues contactPoints deathDate email faxNumber follows gender homeLocation interactionCount jobTitle knows memberOf nationality parents performerIn relatedTo siblings spouse telephone workLocation worksFor
Mass,Mass,"Properties that take Mass as values are of the form '<Number> <Mass unit of measure>'. E.g., '7 kg'",Thing Intangible Quantity,Quantity,,
SportingGoodsStore,Sporting Goods Store,A sporting goods store.,Thing Organization LocalBusiness Store,Store,,
Notary,Notary,A notary.,Thing Organization LocalBusiness ProfessionalService,ProfessionalService,,
AggregateRating,Aggregate Rating,The average rating based on multiple ratings or reviews.,Thing Intangible Rating,Rating,,itemReviewed ratingCount reviewCount
UserPlusOnes,User Plus Ones,User interaction: +1.,Thing Event UserInteraction,UserInteraction,,
Zoo,Zoo,A zoo.,Thing Place CivicStructure,CivicStructure,,
Painting,Painting,A painting.,Thing CreativeWork,CreativeWork,,
GardenStore,Garden Store,A garden store.,Thing Organization LocalBusiness Store,Store,,
Quantity,Quantity,"Quantities such as distance, time, mass, weight, etc. Particular instances of say Mass are entities like '3 Kg' or '4 milligrams'.",Thing Intangible,Intangible,Distance Duration Mass,
Blog,Blog,A blog,Thing CreativeWork,CreativeWork,,blogPosts
HealthAndBeautyBusiness,Health And Beauty Business,Health and beauty.,Thing Organization LocalBusiness,LocalBusiness,BeautySalon DaySpa HairSalon HealthClub NailSalon TattooParlor,
ArtGallery,Art Gallery,An art gallery.,Thing Organization LocalBusiness EntertainmentBusiness,EntertainmentBusiness,,
NailSalon,Nail Salon,A nail salon.,Thing Organization LocalBusiness HealthAndBeautyBusiness,HealthAndBeautyBusiness,,
